,Time,Day_of_week,Age_band_of_driver,Driving_experience,Type_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour,TimeLine
5972,1900-01-01 09:26:00,Wednesday,18-30,Above 10yr,Special vehicle,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,Serious Injury,9,Morning
5973,1900-01-01 12:15:00,Wednesday,Over 51,5-10yr,Lorry (41?100Q),Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,12,Afternoon
5974,1900-01-01 12:15:00,Wednesday,Over 51,5-10yr,Lorry (41?100Q),Other,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,12,Afternoon
5975,1900-01-01 14:45:00,Monday,Unknown,Above 10yr,Public (> 45 seats),Office areas,One way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Moving Backward,Slight Injury,14,Afternoon
5976,1900-01-01 14:45:00,Monday,31-50,5-10yr,Automobile,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,No distancing,Slight Injury,14,Afternoon
5977,1900-01-01 09:25:00,Tuesday,Unknown,5-10yr,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,No priority to vehicle,Slight Injury,9,Morning
5978,1900-01-01 09:25:00,Tuesday,31-50,5-10yr,Automobile,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,Overturning,Slight Injury,9,Morning
5979,1900-01-01 14:20:00,Thursday,18-30,Below 1yr,Public (> 45 seats), Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,14,Afternoon
5980,1900-01-01 14:20:00,Thursday,18-30,5-10yr,Lorry (11?40Q),Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,2,Going straight,Not a Pedestrian,No distancing,Slight Injury,14,Afternoon
5981,1900-01-01 17:30:00,Sunday,18-30,5-10yr,Pick up upto 10Q,Office areas,One way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unknown or other,Moving Backward,Slight Injury,17,Evening
5982,1900-01-01 17:30:00,Sunday,18-30,5-10yr,Lorry (11?40Q),Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Not a Pedestrian,No priority to vehicle,Slight Injury,17,Evening
5983,1900-01-01 20:31:00,Saturday,18-30,Above 10yr,Pick up upto 10Q,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,20,Night
5984,1900-01-01 17:18:00,Wednesday,31-50,Above 10yr,Special vehicle, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Unknown or other,No distancing,Slight Injury,17,Evening
5985,1900-01-01 17:18:00,Wednesday,31-50,Above 10yr,Lorry (11?40Q), Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury,17,Evening
5986,1900-01-01 15:34:00,Monday,Unknown,Above 10yr,Automobile,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Reversing,Not a Pedestrian,Overtaking,Serious Injury,15,Afternoon
5987,1900-01-01 15:34:00,Monday,18-30,Above 10yr,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Moving Backward,Not a Pedestrian,Driving under the influence of drugs,Serious Injury,15,Afternoon
5988,1900-01-01 15:34:00,Monday,31-50,Above 10yr,Lorry (41?100Q),Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,Changing lane to the right,Serious Injury,15,Afternoon
5989,1900-01-01 08:46:00,Wednesday,Unknown,5-10yr,Other,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,8,Morning
5990,1900-01-01 16:59:00,Saturday,Over 51,2-5yr,Other, Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Gravel roads,Wet or damp,Darkness - lights lit,Other,Collision with roadside objects,1,1,Reversing,Not a Pedestrian,Driving carelessly,Serious Injury,16,Evening
5991,1900-01-01 21:30:00,Monday,Under 18,Below 1yr,Automobile, Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,21,Night
5992,1900-01-01 21:30:00,Monday,Under 18,Below 1yr,Other,Office areas,other,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Reversing,Not a Pedestrian,Moving Backward,Slight Injury,21,Night
5993,1900-01-01 21:30:00,Monday,Unknown,2-5yr,Automobile, Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Other,Not a Pedestrian,Changing lane to the right,Slight Injury,21,Night
5994,1900-01-01 09:30:00,Tuesday,31-50,Below 1yr,Public (13?45 seats),Office areas,other,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,9,Morning
5995,1900-01-01 09:30:00,Tuesday,Unknown,Below 1yr,Lorry (41?100Q),Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving at high speed,Slight Injury,9,Morning
5996,1900-01-01 20:55:00,Saturday,31-50,5-10yr,Automobile,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,20,Night
5997,1900-01-01 20:55:00,Saturday,31-50,5-10yr,Automobile,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,20,Night
5998,1900-01-01 18:10:00,Tuesday,Unknown,Below 1yr,Automobile,Office areas,other,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,18,Evening
5999,1900-01-01 18:10:00,Tuesday,Under 18,Below 1yr,Lorry (41?100Q),Rural village areasOffice areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,18,Evening
6000,1900-01-01 13:15:00,Friday,31-50,1-2yr,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,13,Afternoon
6001,1900-01-01 13:15:00,Friday,18-30,Above 10yr,Lorry (41?100Q),Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,13,Afternoon
6002,1900-01-01 17:15:00,Tuesday,31-50,Above 10yr,Taxi,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,1,Going straight,Not a Pedestrian,No distancing,Slight Injury,17,Evening
6003,1900-01-01 17:15:00,Tuesday,18-30,Below 1yr,Lorry (41?100Q),Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,1,Going straight,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,17,Evening
6004,1900-01-01 17:15:00,Tuesday,31-50,2-5yr,Lorry (41?100Q),Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,1,Going straight,Not a Pedestrian,Overtaking,Slight Injury,17,Evening
6005,1900-01-01 17:15:00,Tuesday,31-50,2-5yr,Other,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,17,Evening
6006,1900-01-01 17:55:00,Tuesday,Over 51,Above 10yr,Stationwagen,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving under the influence of drugs,Fatal injury,17,Evening
6007,1900-01-01 17:55:00,Tuesday,18-30,2-5yr,Stationwagen,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Unknown or other,Moving Backward,Fatal injury,17,Evening
6008,1900-01-01 07:54:00,Wednesday,Under 18,2-5yr,Lorry (41?100Q),Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Overturning,Slight Injury,7,Morning
6009,1900-01-01 07:54:00,Wednesday,18-30,1-2yr,Lorry (41?100Q),Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,7,Morning
6010,1900-01-01 12:43:00,Wednesday,18-30,5-10yr,Other,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Moving Backward,Not a Pedestrian,Changing lane to the right,Serious Injury,12,Afternoon
6011,1900-01-01 17:25:00,Wednesday,31-50,Below 1yr,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,Serious Injury,17,Evening
6012,1900-01-01 17:25:00,Wednesday,Unknown,Below 1yr,Automobile,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,Serious Injury,17,Evening
6013,1900-01-01 10:35:00,Sunday,31-50,5-10yr,Taxi,School areas,Undivided Two way,Tangent road with mild grade and flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,Serious Injury,10,Morning
6014,1900-01-01 10:35:00,Sunday,18-30,Below 1yr,Lorry (41?100Q),Residential areas,Undivided Two way,Tangent road with mild grade and flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to vehicle,Serious Injury,10,Morning
6015,1900-01-01 07:45:00,Monday,Unknown,1-2yr,Other,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,2,1,Turnover,Not a Pedestrian,Moving Backward,Slight Injury,7,Morning
6016,1900-01-01 07:45:00,Monday,18-30,2-5yr,Automobile, Church areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Other,Rollover,2,1,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,7,Morning
6017,1900-01-01 08:40:00,Wednesday,Unknown,1-2yr,Public (> 45 seats),Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,8,Morning
6018,1900-01-01 07:45:00,Thursday,18-30,5-10yr,Stationwagen,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,7,Morning
6019,1900-01-01 15:50:00,Wednesday,18-30,Below 1yr,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,3,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,15,Afternoon
6020,1900-01-01 15:50:00,Wednesday,31-50,Above 10yr,Lorry (41?100Q),Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,15,Afternoon
6021,1900-01-01 15:50:00,Wednesday,31-50,5-10yr,Other,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Crossing from driver's nearside,Changing lane to the right,Slight Injury,15,Afternoon
6022,1900-01-01 15:50:00,Wednesday,31-50,Below 1yr,Public (13?45 seats),Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,15,Afternoon
6023,1900-01-01 17:00:00,Tuesday,Unknown,5-10yr,Other,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,17,Evening
6024,1900-01-01 17:00:00,Tuesday,18-30,5-10yr,Other,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,17,Evening
6025,1900-01-01 17:55:00,Sunday,31-50,2-5yr,Ridden horse,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Turnover,Not a Pedestrian,Changing lane to the right,Serious Injury,17,Evening
6026,1900-01-01 11:10:00,Saturday,18-30,Above 10yr,Lorry (41?100Q),Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,11,Morning
6027,1900-01-01 11:10:00,Saturday,18-30,5-10yr,Lorry (41?100Q),Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,3,Reversing,Not a Pedestrian,Driving carelessly,Slight Injury,11,Morning
6028,1900-01-01 11:10:00,Saturday,31-50,1-2yr,Pick up upto 10Q,Office areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Rollover,2,3,Other,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury,11,Morning
6029,1900-01-01 18:00:00,Tuesday,Unknown,Above 10yr,Lorry (11?40Q),School areas,Undivided Two way,Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,18,Evening
6030,1900-01-01 18:00:00,Tuesday,Under 18,2-5yr,Automobile,Residential areas,One way,Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,5,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury,18,Evening
6031,1900-01-01 18:00:00,Tuesday,Under 18,5-10yr,Automobile,Office areas,Undivided Two way,Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Turnover,Not a Pedestrian,No priority to vehicle,Slight Injury,18,Evening
6032,1900-01-01 18:00:00,Tuesday,Under 18,Below 1yr,Pick up upto 10Q,Residential areas,Undivided Two way,Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Other,Not a Pedestrian,Changing lane to the left,Slight Injury,18,Evening
6033,1900-01-01 18:00:00,Tuesday,Under 18,5-10yr,Automobile,Office areas,Undivided Two way,Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,5,Going straight,Not a Pedestrian,Moving Backward,Slight Injury,18,Evening
6034,1900-01-01 18:00:00,Tuesday,Under 18,Above 10yr,Other,Residential areas,One way,Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,5,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,18,Evening
6035,1900-01-01 15:35:00,Friday,Unknown,5-10yr,Lorry (41?100Q),Other,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,15,Afternoon
6036,1900-01-01 15:35:00,Friday,18-30,1-2yr,Public (13?45 seats),Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,15,Afternoon
6037,1900-01-01 18:30:00,Thursday,Unknown,5-10yr,Pick up upto 10Q,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Turnover,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to vehicle,Slight Injury,18,Evening
6038,1900-01-01 18:30:00,Thursday,31-50,1-2yr,Stationwagen,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury,18,Evening
6039,1900-01-01 18:30:00,Thursday,31-50,Above 10yr,Other,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Turnover,Not a Pedestrian,Driving to the left,Slight Injury,18,Evening
6040,1900-01-01 13:50:00,Wednesday,Unknown,1-2yr,Pick up upto 10Q,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Moving Backward,Serious Injury,13,Afternoon
6041,1900-01-01 13:50:00,Wednesday,Under 18,5-10yr,Public (13?45 seats),Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Not a Pedestrian,No priority to vehicle,Serious Injury,13,Afternoon
6042,1900-01-01 13:50:00,Wednesday,Under 18,2-5yr,Public (12 seats),Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,No distancing,Serious Injury,13,Afternoon
6043,1900-01-01 18:15:00,Tuesday,Unknown,5-10yr,Lorry (41?100Q),Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury,18,Evening
6044,1900-01-01 18:15:00,Tuesday,18-30,2-5yr,Pick up upto 10Q, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,18,Evening
6045,1900-01-01 15:45:00,Friday,31-50,2-5yr,Lorry (41?100Q),Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Not a Pedestrian,No priority to vehicle,Slight Injury,15,Afternoon
6046,1900-01-01 15:45:00,Friday,18-30,Above 10yr,Pick up upto 10Q,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Not a Pedestrian,No priority to vehicle,Slight Injury,15,Afternoon
6047,1900-01-01 14:20:00,Tuesday,Unknown,1-2yr,Long lorry,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,1,Reversing,Not a Pedestrian,No distancing,Slight Injury,14,Afternoon
6048,1900-01-01 14:20:00,Tuesday,18-30,1-2yr,Automobile,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving to the left,Slight Injury,14,Afternoon
6049,1900-01-01 22:04:00,Monday,Unknown,No Licence,Other,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Snow,Darkness - lights lit,Snow,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Driving carelessly,Serious Injury,22,Night
6050,1900-01-01 22:04:00,Monday,31-50,1-2yr,Automobile,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Snow,Darkness - lights lit,Snow,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Driving carelessly,Serious Injury,22,Night
6051,1900-01-01 22:04:00,Monday,31-50,5-10yr,Public (13?45 seats),Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Snow,Darkness - lights lit,Snow,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Changing lane to the right,Serious Injury,22,Night
6052,1900-01-01 17:10:00,Tuesday,Unknown,Above 10yr,Special vehicle,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Driving carelessly,Slight Injury,17,Evening
6053,1900-01-01 17:10:00,Tuesday,31-50,Above 10yr,Lorry (41?100Q),Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury,17,Evening
6054,1900-01-01 09:00:00,Wednesday,Under 18,5-10yr,Lorry (41?100Q),Other,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Driving carelessly,Slight Injury,9,Morning
6055,1900-01-01 09:00:00,Wednesday,31-50,2-5yr,Public (> 45 seats),Office areas,One way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Driving carelessly,Slight Injury,9,Morning
6056,1900-01-01 03:59:00,Sunday,18-30,2-5yr,Automobile,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Other,Collision with roadside objects,2,2,Going straight,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,3,Night
6057,1900-01-01 03:59:00,Sunday,18-30,Below 1yr,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Other,Vehicle with vehicle collision,2,2,Other,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,Slight Injury,3,Night
6058,1900-01-01 15:15:00,Sunday,18-30,2-5yr,Automobile,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Windy,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,No distancing,Serious Injury,15,Afternoon
6059,1900-01-01 15:15:00,Sunday,18-30,2-5yr,Public (> 45 seats), Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Windy,Vehicle with vehicle collision,2,3,Other,Not a Pedestrian,Driving carelessly,Serious Injury,15,Afternoon
6060,1900-01-01 15:15:00,Sunday,18-30,5-10yr,Lorry (11?40Q),Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Windy,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,Driving to the left,Serious Injury,15,Afternoon
6061,1900-01-01 15:15:00,Sunday,Unknown,Above 10yr,Pick up upto 10Q,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Windy,Collision with pedestrians,2,3,Reversing,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Overtaking,Serious Injury,15,Afternoon
6062,1900-01-01 08:39:00,Wednesday,18-30,5-10yr,Lorry (11?40Q),Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,No distancing,Serious Injury,8,Morning
